ProcessName,TechCostGroup,Parameters,Unit,2015,2020,2025,2030,2035,2040,2045,2050,2055,2060
COA_OXY_CCS,Brazil,CAPEX,USD/kW,5300,5300,5200,5100,4900,4700,4500,4300,4300,4300
COA_OXY_CCS,Europe,OPEX,USD/kW,170,170,167.5,165,157.5,150,142.5,135,135,135
COA_OXY_CCS,United States,OPEX,USD/kW,175,175,170,165,160,155,150,145,145,145
COA_OXY_CCS,Japan,OPEX,USD/kW,185,185,180,175,167.5,160,152.5,145,145,145
COA_OXY_CCS,Russia,OPEX,USD/kW,160,160,155,150,145,140,135,130,130,130
COA_OXY_CCS,China,OPEX,USD/kW,140,140,135,130,122.5,115,107.5,100,100,100
COA_OXY_CCS,India,OPEX,USD/kW,165,165,160,155,150,145,140,135,135,135
COA_OXY_CCS,Middle East,OPEX,USD/kW,160,160,155,150,145,140,135,130,130,130
COA_OXY_CCS,Africa,OPEX,USD/kW,185,185,180,175,167.5,160,152.5,145,145,145
COA_OXY_CCS,Brazil,OPEX,USD/kW,160,160,155,150,145,140,135,130,130,130
COA_OXY_CCS,Europe,varOPEX,USD/kWh,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01
COA_OXY_CCS,United States,varOPEX,USD/kWh,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01
COA_OXY_CCS,Japan,varOPEX,USD/kWh,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01
COA_OXY_CCS,Russia,varOPEX,USD/kWh,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01
COA_OXY_CCS,China,varOPEX,USD/kWh,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01
COA_OXY_CCS,India,varOPEX,USD/kWh,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01
COA_OXY_CCS,Middle East,varOPEX,USD/kWh,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01
COA_OXY_CCS,Africa,varOPEX,USD/kWh,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01
COA_OXY_CCS,Brazil,varOPEX,USD/kWh,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01
COA_OXY_CCS,Europe,Lifetime,year,40,40,40,40,40,40,40,40,40,40
COA_OXY_CCS,United States,Lifetime,year,40,40,40,40,40,40,40,40,40,40
COA_OXY_CCS,Japan,Lifetime,year,40,40,40,40,40,40,40,40,40,40
COA_OXY_CCS,Russia,Lifetime,year,40,40,40,40,40,40,40,40,40,40
COA_OXY_CCS,China,Lifetime,year,40,40,40,40,40,40,40,40,40,40
COA_OXY_CCS,India,Lifetime,year,40,40,40,40,40,40,40,40,40,40
COA_OXY_CCS,Middle East,Lifetime,year,40,40,40,40,40,40,40,40,40,40
COA_OXY_CCS,Africa,Lifetime,year,40,40,40,40,40,40,40,40,40,40
COA_OXY_CCS,Brazil,Lifetime,year,40,40,40,40,40,40,40,40,40,40
COA_IGCC_CCS,Europe,CAPEX,USD/kW,5850,5850,5675,5500,5325,5150,4975,4800,4800,4800
COA_IGCC_CCS,United States,CAPEX,USD/kW,5950,5800,5700,5600,5450,5300,5150,5000,5000,5000
COA_IGCC_CCS,Japan,CAPEX,USD/kW,6250,6250,6075,5900,5750,5600,5450,5300,5300,5300
COA_IGCC_CCS,Russia,CAPEX,USD/kW,5450,5450,5275,5100,4975,4850,4725,4600,4600,4600
COA_IGCC_CCS,China,CAPEX,USD/kW,3650,3650,3500,3350,3200,3050,2900,2750,2750,2750
COA_IGCC_CCS,India,CAPEX,USD/kW,4150,4150,4000,3850,3775,3700,3625,3550,3550,3550
COA_IGCC_CCS,Middle East,CAPEX,USD/kW,5450,5450,5275,5100,4975,4850,4725,4600,4600,4600
COA_IGCC_CCS,Africa,CAPEX,USD/kW,4850,4850,4700,4550,4475,4400,4325,4250,4250,4250
COA_IGCC_CCS,Brazil,CAPEX,USD/kW,5450,5450,5275,5100,4975,4850,4725,4600,4600,4600
COA_IGCC_CCS,Europe,OPEX,USD/kW,205,205,197.5,190,185,180,175,170,170,170
COA_IGCC_CCS,United States,OPEX,USD/kW,210,210,202.5,195,190,185,180,175,175,175
COA_IGCC_CCS,Japan,OPEX,USD/kW,220,220,212.5,205,200,195,190,185,185,185
COA_IGCC_CCS,Russia,OPEX,USD/kW,190,190,185,180,175,170,165,160,160,160
COA_IGCC_CCS,China,OPEX,USD/kW,165,165,157.5,150,145,140,135,130,130,130
COA_IGCC_CCS,India,OPEX,USD/kW,185,185,180,175,170,165,160,155,155,155
COA_IGCC_CCS,Middle East,OPEX,USD/kW,190,190,185,180,175,170,165,160,160,160
COA_IGCC_CCS,Africa,OPEX,USD/kW,210,210,202.5,195,192.5,190,187.5,185,185,185
COA_IGCC_CCS,Brazil,OPEX,USD/kW,190,190,185,180,175,170,165,160,160,160
COA_IGCC_CCS,Europe,varOPEX,USD/kWh,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01
COA_IGCC_CCS,United States,varOPEX,USD/kWh,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01
COA_IGCC_CCS,Japan,varOPEX,USD/kWh,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01
COA_IGCC_CCS,Russia,varOPEX,USD/kWh,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01
COA_IGCC_CCS,China,varOPEX,USD/kWh,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01
COA_IGCC_CCS,India,varOPEX,USD/kWh,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01
COA_IGCC_CCS,Middle East,varOPEX,USD/kWh,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01
